ip,port,location,ping,type,anonymity
103.95.8.33,4145,Indonesia,1240,SOCKS4,High
202.93.231.43,51776,Indonesia,3140,SOCKS4,High
117.20.59.245,4145,Indonesia,1300,SOCKS4,High
103.197.94.1,4145,Indonesia,2620,SOCKS4,High
103.109.2.136,4145,Indonesia,1120,SOCKS4,High
103.40.54.66,4145,Indonesia,1080,SOCKS4,High
103.40.54.50,4145,Indonesia,1340,SOCKS4,High
103.228.118.89,4145,Indonesia,1120,SOCKS4,High
202.150.153.17,4145,Indonesia,1020,SOCKS4,High
103.95.8.201,4145,Indonesia,1240,SOCKS4,High
103.40.121.47,4145,Indonesia,1160,SOCKS4,High
103.229.163.20,4145,Indonesia,1220,SOCKS4,High
202.169.242.242,4145,Indonesia,1380,SOCKS4,High
103.228.118.209,4145,Indonesia,1100,SOCKS4,High
43.252.74.157,4145,Indonesia,1240,SOCKS4,High
36.89.235.31,4145,Indonesia,1300,SOCKS4,High
222.124.5.140,4145,Indonesia,1180,SOCKS4,High
203.190.116.25,4145,Indonesia,1260,SOCKS4,High
103.86.139.1,4145,Indonesia,1180,SOCKS4,High
36.89.235.31,4145,Indonesia,1300,SOCKS4,High
222.124.5.140,4145,Indonesia,1180,SOCKS4,High
203.190.116.25,4145,Indonesia,1260,SOCKS4,High
103.86.139.1,4145,Indonesia,1180,SOCKS4,High
103.77.207.98,4145,Indonesia,1420,SOCKS4,High
103.16.132.190,4145,Indonesia,1140,SOCKS4,High
36.67.177.175,4145,Indonesia,1280,SOCKS4,High
110.232.80.234,4145,Indonesia,1200,SOCKS4,High
103.245.182.21,4145,Indonesia,1180,SOCKS4,High
119.2.88.61,4145,Indonesia,0,SOCKS4,High
112.109.20.158,4145,Indonesia,0,SOCKS4,High
103.36.8.237,4145,Indonesia,0,SOCKS4,High
114.5.23.206,4145,Indonesia,1400,SOCKS4,High
103.77.206.67,4145,Indonesia,1320,SOCKS4,High
103.107.84.133,4145,Indonesia,1340,SOCKS4,High
103.9.125.17,4145,Indonesia,1200,SOCKS4,High
139.195.22.191,4145,Indonesia,1120,SOCKS4,High
103.195.19.205,4145,Indonesia,1560,SOCKS4,High
103.77.204.31,4145,Indonesia,1280,SOCKS4,High
103.229.163.15,4145,Indonesia,1220,SOCKS4,High
103.197.92.225,4145,Indonesia,1600,SOCKS4,High
27.131.6.251,4145,Indonesia,1240,SOCKS4,High
36.66.43.27,4145,Indonesia,1200,SOCKS4,High
103.95.8.153,4145,Indonesia,1040,SOCKS4,High
103.77.248.249,4145,Indonesia,1100,SOCKS4,High
103.52.2.1,4145,Indonesia,1540,SOCKS4,High
103.31.233.189,4145,Indonesia,1180,SOCKS4,High
103.10.58.201,4145,Indonesia,1140,SOCKS4,High
103.195.19.225,4145,Indonesia,2120,SOCKS4,High
103.26.209.66,4145,Indonesia,1100,SOCKS4,High
36.66.222.133,4145,Indonesia,1220,SOCKS4,High
119.252.166.45,4145,Indonesia,1820,SOCKS4,High
103.11.135.65,4145,Indonesia,980,SOCKS4,High
182.16.173.210,4145,Indonesia,1000,SOCKS4,High
36.89.29.207,4145,Indonesia,1160,SOCKS4,High
110.76.148.163,4145,Indonesia,1040,SOCKS4,High
103.224.100.44,4145,Indonesia,1100,SOCKS4,High
203.207.53.134,4145,Indonesia,1060,SOCKS4,High
116.254.100.101,4145,Indonesia,1320,SOCKS4,High
103.214.53.89,4145,Indonesia,1100,SOCKS4,High
103.19.57.26,1080,Indonesia,2060,SOCKS4,High
36.65.129.246,4145,Indonesia,1360,SOCKS4,High
